ID,章,章タイトル,節,節タイトル,問題番号,難易度,文法事項,Focus,日本語,英文（穴埋め）,ヒント,英文（完全）,答え,Tip（思考誘導）,解説,語句・熟語,注意・補足,Words to Use
23,1章,時制・完了形,-,-,16-1,基本,-,F 041,駅に着いた時には、電車はすでに出発してしまっていた。,The train ( )( )( ) when I (g) to the station.,g,The train had already left when I got to the station.,had / already / left / got,「過去のある時点」までに完了した動作・行為を表す形は?,過去完了形は、「過去のある時点」と「さらに前の過去の時点」をつなぐ表現。過去のある時点までの動作・行為の完了・結果 「~してしまっていた」,-,-,leave / get / realize / lately / become
24,1章,時制・完了形,-,-,16-2,基本,-,F 042,昨年ニューヨークに行くまで、ミュージカルを見たことがなかった。,I ( ) never ( ) a musical until I ( ) to New York last year.,-,I had never seen a musical until I went to New York last year.,had / seen / went,「過去のある時点」までに「~したことがあった」を表す形は?,過去のある時点までの経験 「~したことがあった」。never があるので「~したことがなかった」の意味になる。until は接続詞。,-,-,leave / get / realize / lately / become
25,1章,時制・完了形,-,-,17,基本,-,F 045,駅に着いた時、家にスマートフォンを忘れてきたことに気がついた。,"When I got to the station, I ( ) that I ( )( ) my smartphone at home.",-,"When I got to the station, I realized that I had left my smartphone at home.",realized / had / left,「気がついた」 よりも前の時点で「スマートフォンを忘れた」を表す形は?,過去に起こった2つの出来事を述べるとき、時間的な前後関係を明確に表すために「先に起こった出来事」を過去完了形にする。この用法を大過去という。,-,-,leave / get / realize / lately / become
26,1章,時制・完了形,-,-,18,基本,-,F 044,今朝から雨が降っていたが、今はやんでいる。,"It ( )( )( ) since this morning, but now it has stopped.",-,"It had been raining since this morning, but now it has stopped.",had / been / raining,「ずっと〜し続けていた」を表す形は? 過去のある時点で「やんだ」ということ。,過去のある時点までの動作の継続 「ずっと〜し続けていた」。動作動詞を使って過去完了進行形 had been doing で表す。,-,-,leave / get / realize / lately / become
27,1章,時制・完了形,-,-,19,基本,-,F 046,君が来るまでには宿題を終えているだろう。,I (w)( )( ) my homework by the time you come over.,w,I will have finished my homework by the time you come over.,will / have / finished,「君が来る」のは「未来のある時点」。その時点までの動作の完了を表す形は?,未来のある時点までの「動作・行為の完了・結果」「経験」 「状態の継続」を未来完了形 will have +過去分詞(done)で表す。,come over 「やって来る」,-,leave / get / realize / lately / become
28,1章,時制・完了形,-,-,20-1,基本,-,F 040,近頃、ネットショッピングがますます人気になってきている。,"( ), online shopping (h)(b) more and more popular.",h / b,"Lately, online shopping has become more and more popular.",Lately / has / become,最近の出来事を、「過去から現在まで」という時の流れで表すか、「今起こっていること」と表すかで、2つの時の表現が可能。それぞれに適した「近頃」を表す副詞(句) を使う。,"lately/recently「最近」, so far/until now/up to now 「今までのところ」 などの「過去から現在へ」という意味の広がりがある語句は、現在完了形と共に使うことが多い。",become [get] more and more popular 「ますます人気になる」,-,leave / get / realize / lately / become
29,1章,時制・完了形,-,-,20-2,基本,-,F 040,近頃、ネットショッピングがますます人気になってきている。,"( )( ), online shopping (i)(b) more and more popular.",i / b,"These days, online shopping is becoming more and more popular.",These / days / is / becoming,最近の出来事を、「過去から現在まで」という時の流れで表すか、「今起こっていること」と表すかで、2つの時の表現が可能。それぞれに適した「近頃」を表す副詞(句) を使う。,these days / nowadays 「この頃、近頃」は、「現在」を示す副詞(句)なので、現在形・現在進行形と共に使うことが多い。,-,-,leave / get / realize / lately / become
30,1章,時制・完了形,-,-,20-3,基本,-,-,これまでのところ、そのシリーズは3話見た。,I ( )( ) three episodes of the series ( )( ).,-,I have watched three episodes of the series so far.,have / watched / so / far,「これまでのところ」は「過去から現在まで」のこと。動詞の形はどうする?,so far / until now / up to now 「これまでのところ、今までのところ」は現在完了形と共に使うことが多い。,-,-,leave / get / realize / lately / become
31,1章,時制・完了形,-,-,21,基本,-,F 040,私は先月、テニスを始めたばかりだ。,I ( )( ) playing tennis ( )( ).,-,I just started playing tennis last month.,just / started / last / month,「始めたばかりだ」という日本語に惑わされない。「先月」という過去の時点を表す語句があるから時制はどうなる?,「先月」は過去の時点を表す語句。過去形を使って「先月〜した」と表現する。,-,-,start / get to / stop / talk / use
32,1章,時制・完了形,-,-,22,基本,-,F 032,ホテルに着いたらメッセージを送ります。,I will text you ( ) I ( )( ) the hotel.,-,I will text you when I get to the hotel.,when / get / to,この文の「~したら」は「ほぼ確実に起こること」を述べているのだから「条件」ではない。「ホテルに着いたら→ ホテルに到着した時」ということなので「時」を表す接続詞を使う。ホテルに到着するのは未来のことだが、時を表す副詞節の中なので時制は?,時や条件を表す副詞節の中では、未来のことでもwill は使わず、現在形や現在完了形を使う。,"when... 「･･･する時に」 一副詞節を導く接続詞, get to A 「Aに到着する」",-,start / get to / stop / talk / use
33,1章,時制・完了形,-,-,23,基本,-,F 032,雨がやむまでここで待つつもりです。,I'll wait here ( ) the rain ( ).,-,I'll wait here until the rain stops.,until / stops,「~するまで」という「時を表す副詞節」の中の時制は?,until ... = till... 「･･･するまでずっと」,the rain stops 「雨がやむ」,-,start / get to / stop / talk / use
34,1章,時制・完了形,-,-,24,基本,-,F 220,両親と相談し次第、私の決断をお知らせします。,I'll let you know my decision ( )( )( ) I ( )( ) to my parents.,-,I'll let you know my decision as soon as I have talked to my parents.,as / soon / as / have / talked,「~し次第」は「~するとすぐに」ということ。「両親と話し合いをしたらすぐに」と完了のニュアンスがあることを考えると、動詞の時制はどうするのが適切?,as soon as... 「･･･するとすぐに」,"let you know 「あなたに知らせる」, talk to [with] one's parent(s) 「親 [両親] と相談する」",-,start / get to / stop / talk / use
35,1章,時制・完了形,-,-,25,基本,-,F 032,車の代わりに公共交通機関を利用すれば、二酸化炭素の排出の削減に貢献できる。,"( ) we ( ) public transportation instead of cars, we can help to reduce CO2 emissions.",-,"If we use public transportation instead of cars, we can help to reduce CO2 emissions.",If / use,条件を表す副詞節の中の時制は? 「利用する=使う」,if... 「もし･･･ならば」 一副詞節を導く if,"public transportation / public transport「公共交通機関」, help (to) do 「~する助けとなる」, CO2 emissions 「二酸化炭素の排出(量)」",-,start / get to / stop / talk / use
36,1章,時制・完了形,-,-,26,基本,-,F 221,誰が送ったのかわからなければ、ファイルを開けるべきではない。,You should not open a file ( ) you ( ) who sent it.,-,You should not open a file unless you know who sent it.,unless / know,「･･･でなければ」を表す接続詞1語と、その後の動詞の形は?,unless ... [･･･でなければ、･･･しない限り」。〈unless+肯定文〉で「･･･でなければ、･･･しない限り」という否定の意味になる。unless の後を否定文にしないこと。,-,-,start / get to / stop / talk / use
37,1章,時制・完了形,-,-,27,基本,-,-,すみませんが、いつ公演が始まるか教えていただけますか。,"Excuse me, could you tell me ( ) the performance ( )( )?",-,"Excuse me, could you tell me when the performance will start?",when / will / start,〈tell+O+O〉の形。「いつ･･･するか」 は動詞の目的語なので名詞節。未来のことを表すとき、名詞節の中の時制は?,when 節や if節が名詞節の場合、未来のことは will do などで表す。,"when... 「いつ･･･するか」 ―この when は疑問詞で、名詞節を導く。, Excuse me, could you ...? 「すみませんが･･･していただけますか。」",-,start / get to / stop / talk / use
38,1章,時制・完了形,-,-,28,基本,-,F 215,ケンが今夜、パーティーに来るかどうかわからない。,I don't know ( ) Ken ( )( ) to the party tonight.,-,I don't know if [whether] Ken will come to the party tonight.,if / will / come,「･･･するかどうか」を表す接続詞は? 名詞節の中の時制に注意。,if... 「･･･するかどうか」 一名詞節を導くif = whether ... 。if節は名詞節でknowの目的語。名詞節の場合、未来のことはwill do などで表す。,-,-,pass / join / dead
39,1章,時制・完了形,-,-,29-1,発展,-,F 038,私が陸上部に入部してから3か月がたった。,Three months ( )( )( ) I ( ) the track and field team.,-,Three months have passed since I joined the track and field team.,have / passed / since / joined,「陸上部に入部した」のは過去。「3か月たった」のは「過去から現在」の時間の幅があると考えると時制はどうなる?,since... 「･･･して以来」 期間+have passed since S'+V',pass はここでは「(期間)が経過する」を意味する自動詞。,-,pass / join / dead
40,1章,時制・完了形,-,-,29-2,発展,-,F 038,私が陸上部に入部してから3か月がたった。,(I)( )( ) three months ( )( )(j) the track and field team.,I / j,It has been three months since I joined the track and field team.,It / has / been / since / I / joined,「陸上部に入部した」のは過去。「3か月たった」のは「過去から現在」の時間の幅があると考えると時制はどうなる?,It has been +期間+since S'+V' 「･･･してから~(の期間)がたった」,-,-,pass / join / dead
41,1章,時制・完了形,-,-,30,基本,-,F 038,祖父が亡くなって3年になる。,My grandfather ( )( )( )( ) three years.,-,My grandfather has been dead for three years.,has / been / dead / for,「亡くなっている」は形容詞を使って表現する。「3年間亡くなった状態でいる」ると時制はどうなる?,S have been dead for +期間 「Sが亡くなってから~(期間)になる」。「~(期間)の間Sが死んでいる状態が続いている」という現在までの状態の継続を表す現在完了形。,-,-,pass / join / dead
42,1章,時制・完了形,-,-,31,基本,-,-,サラは怒るだろうと思ったけれど、理解して私の間違いを許してくれた。,"I (t) Sara (w)( ) angry, but she understood and forgave my mistake.",t / w,"I thought Sara would be angry, but she understood and forgave my mistake.",thought / would / be,主節の動詞が過去形のとき、従属節の動詞や助動詞の時制はどうなる?,主節の動詞が過去形のとき、従属節の(助) 動詞を〈現在形→過去形〉〈過去形/現在完了形→過去完了形〉にする。これを時制の一致と呼ぶ。,forgive one's mistake 「~の間違いを許す」,-,pass / join / dead
1,2章,受動態,-,-,32,基本,-,F 069,英語は国際語として広く使われている。,English ( ) widely ( ) as an international language.,-,English is widely used as an international language.,is / used,「英語」は「使われる」側なので態は?,受動態はbe+過去分詞(done)+by~の形で、「Sは〜によって･･･される」という受け身の意味を表す。 動作主を明示する必要がない場合や、動作主がはっきりしない場合は、by~を省略する。,"be widely used 「広く使われている」, an international language「国際語」",-,use / replace / steal / recycle / release / conduct
2,2章,受動態,-,-,33-1,基本,-,F 072,多くの仕事が人工知能に取って代わられるだろう。,Many jobs ( )( )( ) by AI.,-,Many jobs will [would] be replaced by AI.,will / be / replaced,「~だろう」という未来を表す助動詞と受動態を組み合わせると?,助動詞を含む受動態は助動詞+be+過去分詞 (done)の形にする。 will [would] be done 「~されるだろう」 - would はwill より確実性が低い。,replace 「~に取って代わる」,-,use / replace / steal / recycle / release / conduct
3,2章,受動態,-,-,33-2,基本,-,F 071,個人情報が盗まれるかもしれない。,Personal information ( )( )( ).,-,Personal information may [might] be stolen.,may / be / stolen,「~かもしれない」を表す助動詞と受動態を組み合わせると?,might は mayの過去形だが過去の意味はない。 mightは「(ひょっとすると)~かもしれない」の意味を表し、mayよりも確信度が低い場合に使うが、実際には may と同じ程度の確信度で使うことも多い。,"may [might] be done 「~されるかもしれない」, steal 「~を盗む」 一活用は steal-stole-stolen",-,use / replace / steal / recycle / release / conduct
4,2章,受動態,-,-,33-3,基本,-,F 071,プラスチック製品はリサイクルされるべきだ。,Plastics ( )( )( ).,-,Plastics should be recycled.,should / be / recycled,「~すべき」を表す助動詞と受動態を組み合わせると?,should be done ① 「~されるべきだ」 ②「~されるはずだ」,recycle 「~をリサイクルする」,-,use / replace / steal / recycle / release / conduct
5,2章,受動態,-,-,34,基本,-,F 074,新しいバージョンがリリースされたところだ。,A new version ( )( )( ).,-,A new version has been released.,has / been / released,完了形と受動態を組み合わせると?,完了形の受動態は have been+過去分詞(done)の形にする。,release 「~を放す、~をリリース [発売] する」,-,use / replace / steal / recycle / release / conduct
6,2章,受動態,-,-,35,基本,-,F 073,生徒の生活習慣についての調査が行われている。,A survey of student lifestyles ( )( )(c).,c,A survey of student lifestyles is being conducted.,is / being / conducted,進行形と受動態を組み合わせると?,進行形の受動態はbe + being +過去分詞 (done)の形にする。 「~されているところだ」。A survey が主語なので、be動詞はisとなる。,"conduct a survey 「調査を行う」, lifestyle「生活習慣,生活様式」",-,use / replace / steal / recycle / release / conduct
7,2章,受動態,-,-,36,基本,-,F 079,ケンはサッカーがとても上手なので、友達から尊敬されている。,Ken (looked/by/to/up/is) his friends because he is really good at playing soccer.,-,Ken is looked up to by his friends because he is really good at playing soccer.,is / looked / up / to / by,〈動詞+副詞〉 〈動詞+前置詞〉や〈動詞+副詞+前置詞〉などの形で1つの動詞の働きをする形を句動詞と呼ぶ。 句動詞を受動態にするときに注意すべきことは?,句動詞[群動詞] は1つの動詞として考えて受動態にする。,be looked up to (by A) 「(Aに) 尊敬されている」 = be respected (by A),-,call off / catch
8,2章,受動態,-,-,37,基本,-,F 079,校庭の草花は児童によって世話されている。,Plants and flowers in the schoolyard (care/by/taken/ are / of) the students.,-,Plants and flowers in the schoolyard are taken care of by the students.,are / taken / care / of / by,句動詞を受動態にするときに注意すべきことは?,-,"be taken care of (by A) 「(Aに) 世話される」 = be cared for (by A), plant「植物」",-,call off / catch
9,2章,受動態,-,-,38,基本,-,F 079,今日の試合は雨のため中止になった。,Today's game ( )( )( ) because of rain.,-,Today's game was called off because of rain.,was / called / off,「中止になった→中止された」と表現する。,-,"be called off 「中止される」 = be canceled, because of rain 「雨のために」",-,call off / catch
10,2章,受動態,-,-,39-1,基本,-,-,ハイカーたちは吹雪に見舞われ、近くの山小屋に避難しなければならなかった。,The hikers (w )( )( ) a snowstorm and had to take shelter in a nearby cabin.,w,The hikers were caught in a snowstorm and had to take shelter in a nearby cabin.,were / caught / in,「吹雪に見舞われ→吹雪に遭った」。「吹雪の中に捕えられた」と表現する。,by 以外の前置詞が使われる受動態。,"be [get] caught in A 「A (雨や交通渋滞など)に遭う」, take shelter 「避難する」 - shelterは「避難所」の意味。",-,call off / catch
11,2章,受動態,-,-,39-2,基本,-,-,「どうして遅れたの?」 「乗っていたバスが渋滞に巻き込まれたんだ。」,"""How come you were late?"" ""My bus (g )( )( ) traffic.""",g,"""How come you were late?"" ""My bus got caught in traffic.""",got / caught / in,「渋滞に巻き込まれる」を表す表現は?,How come S+V? 「Sはどうして〜するのか。」一理由や原因を尋ねる表現。,be [get] caught in traffic「渋滞に巻き込まれる」,-,call off / catch
12,2章,受動態,-,-,40,基本,-,F 080,その道は、秋になると落ち葉で覆われて美しく見える。,The path looks beautiful when it ( )( )( ) fallen leaves in the fall.,-,The path looks beautiful when it is covered with fallen leaves in the fall.,is / covered / with,「〜で覆われている」を表す表現は?,-,"be covered with A 「Aで覆われている」, fallen leaves 「落ち葉」",-,call off / catch
13,2章,受動態,-,-,41,基本,-,-,先生がおもしろい冗談を言うと、教室は笑いに包まれた。,The classroom ( )( )(w) laughter when the teacher told a funny joke.,w,The classroom was filled with laughter when the teacher told a funny joke.,was / filled / with,「笑いに包まれた→笑いでいっぱいだった」と表現する。,-,"be filled with A 「Aでいっぱいだ」 = be full of A, laughter 「笑い」 一発音は/læftər/",-,call off / catch
14,2章,受動態,-,-,42-1,基本,-,-,ブラジルは、その豊かな生物多様性で広く知られている。,Brazil ( )( )( )( ) its rich biodiversity.,-,Brazil is widely known for its rich biodiversity.,is / widely / known / for,「〜で知られている→~のために知られている」,S is known for A (理由) 「SはAで [Aのために] 知られている」。 A1 is known as A2 「A1 はA₂として知られている」 一主語(A1)=A2が成立。,rich biodiversity 「豊かな生物多様性」,-,widely / know / seat / delay / raise / injure / kill
15,2章,受動態,-,-,42-2,基本,-,-,ケンはクラスメートに学校でいちばんおもしろい生徒として知られている。,Ken ( )(k)( ) his classmates as the funniest student in school.,k,Ken is known to his classmates as the funniest student in school.,is / known / to,「(対象)に対して知られている」と表現する。,S is known to A 「SはAに知られている」,the funniest 「最もおもしろい」 -funnyの最上級,-,widely / know / seat / delay / raise / injure / kill
16,2章,受動態,-,-,43,基本,-,-,間もなく開演です。ご着席ください。,The show is about to begin. Please (b )( ).,b,The show is about to begin. Please be seated.,be / seated,Please sit down. よりも丁寧な表現。受動態を使って表す。,日本語では「~される」とはならないが、英語では受動態で表す表現がある。 seat は「~を座らせる」の意味なので、「~が座る」は受動態になる。,be seated「座る」,-,widely / know / seat / delay / raise / injure / kill
17,2章,受動態,-,-,44,基本,-,-,天候不良のため、フライトが1時間遅れている。,The flight (h)( )(d ) for an hour due to bad weather.,h / d,The flight has been delayed for an hour due to bad weather.,has / been / delayed,「遅れる」を表す受動態の表現は? 「現在も遅れている」状態を表すには?,-,"be delayed 「遅れる」 - delay は「~を遅らせる」の意味。, bad weather「悪天候」⇔good weather 「よい天気」",-,widely / know / seat / delay / raise / injure / kill
18,2章,受動態,-,-,45,基本,-,F 080,私は小さな町で生まれ育ったので、そこにいる人をみんな知っていた。,"I ( )(b)( )( ) in a small town, so I knew everyone there.",b,"I was born and raised in a small town, so I knew everyone there.",was / born / and / raised,「産む」「育てる」を受動態で表現する。,-,be born and raised 「生まれ育つ」 = be born and brought up,-,widely / know / seat / delay / raise / injure / kill
19,2章,受動態,-,-,46,基本,-,F 080,サッカー選手が試合中に、けがをした。,A soccer player ( )( ) during the game.,-,A soccer player was [got] injured during the game.,was [got] / injured,英語では「けがをした→けがをさせられた」と表現する。,英語では他動詞 injure を使って「何らかの原因が人にけがをさせる」と表現するので、人を主語にして「けがをする」を表す場合は受動態になる。 動作・行為のニュアンスを含むときは〈get+過去分詞〉にする。,"be [get] injured 「けがをする」 = be [get] hurt (hurt の活用に注意), during the game 「試合中に」",-,widely / know / seat / delay / raise / injure / kill
20,2章,受動態,-,-,47,基本,-,-,ポール・ウォーカーは2013年に車の事故で亡くなった。,Paul Walker ( )(k)( ) a car accident in 2013.,k,Paul Walker was killed in a car accident in 2013.,was / killed / in,事故で死亡した場合、英語では「殺された」と表現する。,by Aではなく in Aを使う。,"be killed in A 「A(事故や戦争など)で死ぬ」, car accident「車の事故」",-,widely / know / seat / delay / raise / injure / kill
